x_0_NOSE,y_0_NOSE,z_0_NOSE,x_1_LEFT_EYE_IN,y_1_LEFT_EYE_IN,z_1_LEFT_EYE_IN,x_2_LEFT_EYE,y_2_LEFT_EYE,z_2_LEFT_EYE,x_3_LEFT_EYE_OUT,y_3_LEFT_EYE_OUT,z_3_LEFT_EYE_OUT,x_4_RIGHT_EYE_IN,y_4_RIGHT_EYE_IN,z_4_RIGHT_EYE_IN,x_5_RIGTH_EYE,y_5_RIGTH_EYE,z_5_RIGTH_EYE,x_6_RIGHT_EYE_OUT,y_6_RIGHT_EYE_OUT,z_6_RIGHT_EYE_OUT,x_7_LEFT_EAR,y_7_LEFT_EAR,z_7_LEFT_EAR,x_8_RIGHT_EAR,y_8_RIGHT_EAR,z_8_RIGHT_EAR,x_9_MOUTH_LEFT,y_9_MOUTH_LEFT,z_9_MOUTH_LEFT,x_10_MOUTH_RIGHT,y_10_MOUTH_RIGHT,z_10_MOUTH_RIGHT,x_11_LEFT_SHOULDER,y_11_LEFT_SHOULDER,z_11_LEFT_SHOULDER,x_12_RIGHT_SHOULDER,y_12_RIGHT_SHOULDER,z_12_RIGHT_SHOULDER,x_13_LEFT_ELBOW,y_13_LEFT_ELBOW,z_13_LEFT_ELBOW,x_14_RIGHT_ELBOW,y_14_RIGHT_ELBOW,z_14_RIGHT_ELBOW,x_15_LEFT_WRIST,y_15_LEFT_WRIST,z_15_LEFT_WRIST,x_16_RIGHT_WRIST,y_16_RIGHT_WRIST,z_16_RIGHT_WRIST,x_17_LEFT_PINKY,y_17_LEFT_PINKY,z_17_LEFT_PINKY,x_18_RIGHT_PINKY,y_18_RIGHT_PINKY,z_18_RIGHT_PINKY,x_19_LEFT_INDEX,y_19_LEFT_INDEX,z_19_LEFT_INDEX,x_20_RIGHT_INDEX,y_20_RIGHT_INDEX,z_20_RIGHT_INDEX,x_21_LEFT_THUMB,y_21_LEFT_THUMB,z_21_LEFT_THUMB,x_22_RIGHT_THUMB,y_22_RIGHT_THUMB,z_22_RIGHT_THUMB,x_23_LEFT_HIP,y_23_LEFT_HIP,z_23_LEFT_HIP,x_24_RIGHT_HIP,y_24_RIGHT_HIP,z_24_RIGHT_HIP,x_25_LEFT_KNEE,y_25_LEFT_KNEE,z_25_LEFT_KNEE,x_26_RIGHT_KNEE,y_26_RIGHT_KNEE,z_26_RIGHT_KNEE,x_27_LEFT_ANKLE,y_27_LEFT_ANKLE,z_27_LEFT_ANKLE,x_28_RIGHT_ANKLE,y_28_RIGHT_ANKLE,z_28_RIGHT_ANKLE,x_29_LEFT_HEEL,y_29_LEFT_HEEL,z_29_LEFT_HEEL,x_30_RIGHT_HEEL,y_30_RIGHT_HEEL,z_30_RIGHT_HEEL,x_31_LEFT_FOOT_INDEX,y_31_LEFT_FOOT_INDEX,z_31_LEFT_FOOT_INDEX,x_32_RIGHT_FOOT_INDEX,y_32_RIGHT_FOOT_INDEX,z_32_RIGHT_FOOT_INDEX
146.96495056152344,-202.4540557861328,620.0,152.9108123779297,-226.3249969482422,607.0,154.40647888183594,-225.57928466796875,605.0,156.4059600830078,-225.57928466796875,605.0,138.63943481445312,-235.97702026367188,606.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,137.63804626464844,-235.97702026367188,606.0,-0.0,-0.0,0.0,134.9745635986328,-188.30064392089844,631.0,113.52062225341797,-195.90443420410156,622.0,148.39718627929688,-171.93841552734375,644.0,-72.5233154296875,-192.47601318359375,631.0,246.77120971679688,-29.94921875,713.0,-80.31086730957031,16.71539878845215,428.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,75.85006713867188,211.53883361816406,1010.0,-38.51200866699219,81.96060180664062,345.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
139.6821746826172,-215.0646209716797,615.0,149.4077911376953,-237.5892791748047,605.0,154.15126037597656,-234.19903564453125,604.0,157.8817901611328,-231.8162384033203,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,145.649169921875,-235.97702026367188,606.0,-0.0,-0.0,0.0,133.0828399658203,-195.40478515625,627.0,104.62081909179688,-202.8233184814453,618.0,144.97915649414062,-170.6077423095703,643.0,-64.69026184082031,-201.36598205566406,636.0,253.90298461914062,-23.512020111083984,697.0,-82.68011474609375,12.61288070678711,433.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,78.87442016601562,199.05169677734375,1006.0,-43.365074157714844,77.2182388305664,352.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
143.98095703125,-211.33819580078125,616.0,153.40673828125,-233.58595275878906,605.0,157.1455078125,-230.20233154296875,604.0,159.87464904785156,-228.82366943359375,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,146.89256286621094,-233.35400390625,607.0,-0.0,-0.0,0.0,135.58615112304688,-192.90647888183594,629.0,109.05750274658203,-200.40277099609375,620.0,145.0357208251953,-167.64651489257812,648.0,-65.53449249267578,-198.6351318359375,634.0,254.77362060546875,-16.427213668823242,690.0,-81.2074203491211,15.335090637207031,429.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,74.18108367919922,209.86802673339844,1010.0,-43.07280349731445,80.24842834472656,345.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
142.17556762695312,-207.59854125976562,617.0,152.65890502929688,-228.95960998535156,606.0,156.88534545898438,-225.8311004638672,603.0,160.87107849121094,-224.83355712890625,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,148.89865112304688,-231.34571838378906,607.0,-0.0,-0.0,0.0,132.88914489746094,-189.344482421875,631.0,106.15486907958984,-198.67140197753906,621.0,145.0357208251953,-167.64651489257812,648.0,-66.37211608886719,-195.91754150390625,632.0,249.2526397705078,-29.823205947875977,710.0,-81.01811981201172,16.007369995117188,428.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,64.42129516601562,215.73146057128906,1014.0,-44.08484649658203,80.58489227294922,344.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
144.76348876953125,-213.02987670898438,615.0,153.8960418701172,-237.80137634277344,603.0,158.61473083496094,-234.41941833496094,602.0,162.86395263671875,-233.81129455566406,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,150.4075164794922,-238.59011840820312,605.0,-0.0,-0.0,0.0,138.9248504638672,-194.25535583496094,630.0,110.08202362060547,-200.40277099609375,620.0,148.39718627929688,-171.93841552734375,644.0,-69.50518035888672,-198.00852966308594,632.0,250.72659301757812,-23.64695167541504,701.0,-81.01811981201172,16.007369995117188,428.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,62.37442398071289,199.44741821289062,1008.0,-45.62268829345703,73.97328186035156,356.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
141.15599060058594,-212.7019500732422,617.0,150.4075164794922,-235.58761596679688,605.0,154.40647888183594,-232.58511352539062,605.0,159.14169311523438,-231.20150756835938,604.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,146.4085693359375,-236.5884552001953,605.0,-0.0,-0.0,0.0,134.3328399658203,-192.59979248046875,628.0,107.00845336914062,-200.40277099609375,620.0,146.49594116210938,-171.13839721679688,645.0,-67.30979919433594,-196.65138244628906,631.0,253.6334228515625,-17.56865882873535,690.0,-77.23731994628906,22.602155685424805,419.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,59.16020965576172,203.1847686767578,1010.0,-46.53632736206055,74.72892761230469,354.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
144.76348876953125,-213.02987670898438,615.0,154.40647888183594,-233.58595275878906,605.0,159.14169311523438,-229.20315551757812,604.0,163.13404846191406,-227.2047882080078,604.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,148.89865112304688,-231.34571838378906,607.0,-0.0,-0.0,0.0,134.3328399658203,-193.638671875,628.0,107.68447875976562,-201.8009796142578,618.0,146.72305297851562,-170.33506774902344,646.0,-68.56914520263672,-198.32183837890625,633.0,250.72659301757812,-25.966238021850586,701.0,-80.63953399658203,16.63728904724121,426.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,65.77096557617188,202.9835968017578,1009.0,-46.010494232177734,77.35848999023438,350.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
141.94512939453125,-213.3762664794922,616.0,152.1550750732422,-236.1973876953125,604.0,156.88534545898438,-232.8137664794922,603.0,162.1359405517578,-231.20150756835938,604.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,148.65335083007812,-234.9745330810547,606.0,-0.0,-0.0,0.0,134.3328399658203,-193.638671875,628.0,105.81298065185547,-202.1275177001953,619.0,147.561767578125,-172.2053985595703,645.0,-71.5938949584961,-196.96302795410156,632.0,249.56822204589844,-23.64695167541504,701.0,-77.79033660888672,19.97157859802246,422.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,53.992401123046875,192.58615112304688,1007.0,-49.10973358154297,71.2312240600586,360.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
146.2538299560547,-209.63990783691406,617.0,153.40673828125,-230.5834503173828,605.0,156.88534545898438,-227.82615661621094,603.0,159.87464904785156,-226.82862854003906,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,145.649169921875,-233.9720458984375,606.0,-0.0,-0.0,0.0,136.62554931640625,-192.90647888183594,629.0,110.08202362060547,-199.3771209716797,620.0,145.88104248046875,-169.5284423828125,647.0,-71.36732482910156,-194.25535583496094,630.0,248.66232299804688,-24.948143005371094,705.0,-80.96158599853516,18.663410186767578,424.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,62.68382263183594,212.1671600341797,1013.0,-45.30232238769531,78.29215240478516,349.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
145.23426818847656,-207.59854125976562,617.0,153.15318298339844,-231.20150756835938,604.0,156.88534545898438,-228.82366943359375,603.0,159.87464904785156,-227.82615661621094,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,146.4085693359375,-236.5884552001953,605.0,-0.0,-0.0,0.0,135.58615112304688,-190.82540893554688,629.0,109.2333984375,-197.6440887451172,621.0,148.6276092529297,-172.2053985595703,645.0,-70.21464538574219,-193.94700622558594,629.0,248.66232299804688,-22.61562728881836,705.0,-79.04564666748047,18.004364013671875,425.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,59.10163497924805,191.2994842529297,1009.0,-48.91913604736328,69.42281341552734,363.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
144.12046813964844,-222.6746826171875,608.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,136.57061767578125,-198.59889221191406,624.0,109.01671600341797,-206.58914184570312,614.0,149.08847045898438,-171.6690673828125,647.0,-68.56914520263672,-199.36898803710938,633.0,248.66232299804688,-20.283105850219727,705.0,-80.71955108642578,10.488151550292969,434.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,64.10363006591797,201.31443786621094,1009.0,-46.08116149902344,74.3527603149414,355.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
145.36386108398438,-220.01856994628906,609.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,138.4107208251953,-198.28062438964844,623.0,112.24305725097656,-204.89085388183594,615.0,147.33299255371094,-174.06910705566406,644.0,-73.33283996582031,-193.94700622558594,629.0,247.25390625,-27.51283836364746,711.0,-79.6036148071289,15.299344062805176,428.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,62.188785552978516,190.54112243652344,1005.0,-46.470577239990234,72.61217498779297,358.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
142.49888610839844,-210.6520233154297,614.0,-0.0,-0.0,0.0,153.6408233642578,-236.41114807128906,602.0,157.6199493408203,-235.415283203125,602.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,145.16847229003906,-239.19493103027344,604.0,-0.0,-0.0,0.0,134.3328399658203,-192.59979248046875,628.0,107.68447875976562,-200.7786407470703,618.0,149.925537109375,-172.47238159179688,646.0,-72.40837860107422,-195.29754638671875,630.0,247.3805694580078,-21.540639877319336,708.0,-77.82373809814453,16.63728904724121,426.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,62.436302185058594,192.96864318847656,1009.0,-47.19361877441406,72.22112274169922,359.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
143.35116577148438,-215.98878479003906,609.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,161.1378631591797,-240.19410705566406,604.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,137.22720336914062,-194.3675537109375,627.0,109.54936981201172,-202.4951171875,617.0,148.6276092529297,-174.3394012451172,645.0,-73.5660171508789,-194.56369018554688,631.0,246.90614318847656,-25.125080108642578,710.0,-77.82373809814453,16.63728904724121,426.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,62.188785552978516,187.21603393554688,1005.0,-48.110557556152344,72.40934753417969,357.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
143.0460205078125,-210.978271484375,612.0,151.3993377685547,-238.00686645507812,601.0,155.3718719482422,-236.01844787597656,601.0,161.6714324951172,-236.97950744628906,606.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,146.67735290527344,-239.3987579345703,602.0,-0.0,-0.0,0.0,137.0083465576172,-194.05755615234375,626.0,110.92735290527344,-201.10353088378906,619.0,148.6276092529297,-174.3394012451172,645.0,-70.54953002929688,-196.96302795410156,632.0,247.60165405273438,-26.37369728088379,712.0,-80.34757232666016,11.869107246398926,432.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,65.6406021118164,189.25445556640625,1007.0,-45.7508430480957,73.59049224853516,357.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
141.4098663330078,-219.5742950439453,605.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,135.10507202148438,-197.9623565673828,622.0,108.3539047241211,-204.20498657226562,616.0,147.561767578125,-174.3394012451172,645.0,-72.5233154296875,-195.6075439453125,631.0,248.66232299804688,-22.61562728881836,705.0,-77.66288757324219,14.625408172607422,429.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,67.50514221191406,186.47665405273438,1010.0,-46.13530349731445,71.8267593383789,360.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
143.51348876953125,-206.58914184570312,614.0,150.40621948242188,-229.05894470214844,601.0,154.3787384033203,-228.06472778320312,601.0,158.87820434570312,-227.82615661621094,603.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,143.93170166015625,-232.8137664794922,603.0,-0.0,-0.0,0.0,135.37059020996094,-190.52203369140625,628.0,110.4371337890625,-196.9333953857422,622.0,176.1590118408203,-199.2095947265625,770.0,-71.36732482910156,-194.25535583496094,630.0,247.95689392089844,-15.573760032653809,703.0,-78.20598602294922,11.869107246398926,432.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,65.6406021118164,187.58860778808594,1007.0,-48.51484680175781,71.2312240600586,360.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
142.40960693359375,-216.57179260253906,605.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,137.6017608642578,-196.5343475341797,624.0,110.56893920898438,-202.4951171875,617.0,149.08847045898438,-170.5987548828125,647.0,-71.48060607910156,-196.65138244628906,631.0,248.76422119140625,-20.196794509887695,702.0,-79.44937133789062,12.554622650146484,431.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,68.96865844726562,185.92276000976562,1007.0,-44.945533752441406,71.8267593383789,360.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
140.33212280273438,-211.958984375,609.0,147.92605590820312,-237.21482849121094,599.0,151.88536071777344,-234.2421112060547,599.0,158.14361572265625,-235.19821166992188,604.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,143.45431518554688,-235.02423095703125,601.0,-0.0,-0.0,0.0,135.155029296875,-194.3675537109375,627.0,109.72692108154297,-200.7786407470703,618.0,177.66184997558594,-200.74374389648438,771.0,-71.48060607910156,-195.6075439453125,631.0,249.56822204589844,-17.848739624023438,701.0,-78.91985321044922,11.869107246398926,432.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,67.43830871582031,189.63034057617188,1009.0,-46.60038375854492,72.22112274169922,359.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
